SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
 4/1/2016 4:00:00 PM   _3372,111.62,USDJPY,FX,SVI, USDJPY   _3094,SVI,,9/8/2017,11.6%,#VALUE!,,11.6%,,12.23%,0.6%,,,Leader,,,12.23%,0.00%
#VALUE!,#VALUE!,UVXYIV,#N/A,#VALUE!,#N/A,#VALUE!,,6/3/2016,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,UVXYIV,Leader,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,XIVIV,#N/A,#VALUE!,#N/A,#VALUE!,,6/3/2016,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,XIVIV,Leader,,,#VALUE!,#VALUE!
 4/1/2016 11:14:17 AM   _3373,7688.34,SMI,Eq,SVI, SMI   _3095,SVI,,6/17/2016,20.1%,#VALUE!,,18.7%,,20.31%,1.6%,,SMI,Follower,,,20.31%,0.00%
 4/1/2016 11:14:17 AM   _3374,7688.34,SMI,Eq,SVI, SMI   _3096,SVI,,9/16/2016,20.7%,#VALUE!,,19.6%,,21.35%,1.7%,,,Follower,,,21.35%,0.00%
 4/1/2016 11:14:17 AM   _3375,7688.34,SMI,Eq,SVI, SMI   _3097,SVI,,12/16/2016,21.1%,#VALUE!,,20.0%,,22.00%,2.0%,,,Follower,,,22.00%,0.00%
 4/1/2016 11:14:17 AM   _3376,7688.34,SMI,Eq,SVI, SMI   _3098,SVI,,3/17/2017,22.7%,#VALUE!,,22.0%,,22.17%,0.2%,,,Follower,,,22.17%,0.00%
 4/1/2016 11:14:17 AM   _3377,7688.34,SMI,Eq,SVI, SMI   _3099,SVI,,6/16/2017,22.3%,#VALUE!,,21.1%,,22.63%,1.5%,,,Follower,,,22.63%,0.00%
 4/1/2016 11:14:17 AM   _3378,7688.34,SMI,Eq,SVI, SMI   _3100,SVI,,12/15/2017,21.8%,#VALUE!,,21.6%,,22.90%,1.3%,,,Follower,,,22.90%,0.00%
 4/1/2016 3:15:00 PM   _3379,1301.4,TPX,Eq,SVI, TPX   _3101,SVI,,4/8/2016,28.3%,#VALUE!,,21.4%,,20.11%,-1.3%,,TPX,Follower,,,20.11%,0.00%
 4/1/2016 3:15:00 PM   _3380,1301.4,TPX,Eq,SVI, TPX   _3102,SVI,,6/10/2016,27.2%,#VALUE!,,23.5%,,23.85%,0.4%,,,Follower,,,23.85%,0.00%
 4/1/2016 3:15:00 PM   _3381,1301.4,TPX,Eq,SVI, TPX   _3103,SVI,,9/9/2016,27.7%,#VALUE!,,25.0%,,24.78%,-0.2%,,,Follower,,,24.78%,0.00%
 4/1/2016 3:15:00 PM   _3382,1301.4,TPX,Eq,SVI, TPX   _3104,SVI,,12/9/2016,28.7%,#VALUE!,,25.9%,,25.56%,-0.3%,,,Follower,,,25.56%,0.00%
 4/1/2016 3:15:00 PM   _3383,1301.4,TPX,Eq,SVI, TPX   _3105,SVI,,1/13/2017,28.7%,#VALUE!,,26.1%,,25.76%,-0.3%,,,Follower,,,25.76%,0.00%
 4/1/2016 3:15:00 PM   _3384,1301.4,TPX,Eq,SVI, TPX   _3106,SVI,,3/10/2017,28.7%,#VALUE!,,26.1%,,25.98%,-0.2%,,,Follower,,,25.98%,0.00%
 4/1/2016 3:15:00 PM   _3385,1301.4,TPX,Eq,SVI, TPX   _3107,SVI,,6/9/2017,28.8%,#VALUE!,,26.5%,,26.27%,-0.2%,,,Follower,,,26.27%,0.00%
 4/1/2016 3:15:00 PM   _3386,1301.4,TPX,Eq,SVI, TPX   _3108,SVI,,9/8/2017,28.6%,#VALUE!,,26.5%,,26.43%,0.0%,,,Follower,,,26.43%,0.00%
